continent,country,year,pop,perc_urban_pop,gdp_per_capita
Africa,Central African Republic,1967,1960444,24.74071,1524.36454
Africa,Central African Republic,1972,2183769,30.66762,1398.80672
Africa,Central African Republic,1977,2372930,35.15994,1411.52631
Africa,Central African Republic,1982,2507375,36.3084,1309.24418
Africa,Central African Republic,1987,2669155,36.9452,1368.49347
Africa,Central African Republic,1992,3058831,37.32806,1292.78726
Africa,Central African Republic,1997,3531700,37.56237,1268.30531
Africa,Central African Republic,2002,4006077,37.81698,1284.59771
Africa,Central African Republic,2007,4462770,38.23433,1280.71356
Africa,Central African Republic,2012,4610848,39.03017,1577.98053
Africa,Central African Republic,2017,4793511,40.81514,1103.86609
Africa,Chad,1962,3175598,7.25907,1417.55204
Africa,Chad,1967,3508512,9.49265,1248.27409
Africa,Chad,1972,3893252,12.47692,1192.29481
Africa,Chad,1977,4331667,17.78398,1257.54969
Africa,Chad,1982,4738483,19.68731,876.57785
Africa,Chad,1987,5438309,20.79966,1254.27051
Africa,Chad,1992,6474656,21.36094,1549.63137
Africa,Chad,1997,7670366,21.56187,1442.06525
Africa,Chad,2002,9116192,21.70078,1617.6377
Africa,Chad,2007,11081660,21.7709,2573.03387
Africa,Chad,2012,13210998,22.10619,2887.74825
Africa,Chad,2017,15622759,23.46135,2496.49275
Africa,Comoros,1962,204702,14.94722,953.43301
Africa,Comoros,1967,223859,18.50342,1281.50753
Africa,Comoros,1972,260077,20.48278,1266.8129
Africa,Comoros,1977,307579,22.10704,1306.39321
Africa,Comoros,1982,357139,24.19587,1642.40264
Africa,Comoros,1987,410439,27.19716,1879.49125
Africa,Comoros,1992,465113,28.46567,2114.42547
Africa,Comoros,1997,507777,28.22093,2083.98945
Africa,Comoros,2002,558923,27.95863,2314.18283
Africa,Comoros,2007,616927,28.24933,2398.29711
Africa,Comoros,2012,681630,29.39795,2868.39987
Africa,Comoros,2017,756669,31.09966,3236.986
Africa,"Congo, Dem. Rep.",1962,16075724,22.52536,1847.96463
Africa,"Congo, Dem. Rep.",1967,18462782,23.36871,1802.89245
Africa,"Congo, Dem. Rep.",1972,21251160,24.53659,1946.56593
Africa,"Congo, Dem. Rep.",1977,24229061,25.93483,1757.97645
Africa,"Congo, Dem. Rep.",1982,28338190,27.46922,1666.2212
Africa,"Congo, Dem. Rep.",1987,33298904,29.12018,1878.32116
Africa,"Congo, Dem. Rep.",1992,39228910,31.11121,1411.96435
Africa,"Congo, Dem. Rep.",1997,46029902,33.40633,1006.13549
Africa,"Congo, Dem. Rep.",2002,53750524,35.93706,800.59337
Africa,"Congo, Dem. Rep.",2007,62477752,38.20178,955.42186
Africa,"Congo, Dem. Rep.",2012,73254618,40.17704,1104.66401
Africa,"Congo, Dem. Rep.",2017,87083398,42.11276,1253.18735
Africa,"Congo, Rep.",1962,1113175,37.01876,2702.62388
Africa,"Congo, Rep.",1967,1278691,37.6202,2925.41658
Africa,"Congo, Rep.",1972,1486468,38.89944,3642.4046
Africa,"Congo, Rep.",1977,1707568,42.41891,3565.47417
Africa,"Congo, Rep.",1982,1910430,49.57011,5475.80576
Africa,"Congo, Rep.",1987,2183473,53.35257,5685.30238
Africa,"Congo, Rep.",1992,2519465,55.29399,7603.79419
Africa,"Congo, Rep.",1997,2887862,57.29765,7084.17856
Africa,"Congo, Rep.",2002,3350771,59.97161,7502.37544
Africa,"Congo, Rep.",2007,3980430,61.85026,7334.53258
Africa,"Congo, Rep.",2012,4740450,62.71872,9079.68656
Africa,"Congo, Rep.",2017,5351011,63.35445,7372.77047
Africa,Cote d'Ivoire,1962,3956939,21.05172,2914.66381
Africa,Cote d'Ivoire,1967,4799744,26.16672,3509.33696
Africa,Cote d'Ivoire,1972,5909716,29.54285,4173.61144
Africa,Cote d'Ivoire,1977,7321950,35.31377,4577.60935
Africa,Cote d'Ivoire,1982,8907936,37.7344,4683.64226
Africa,Cote d'Ivoire,1987,10851475,38.84903,4422.75805
Africa,Cote d'Ivoire,1992,13200310,40.30032,4162.37855
Africa,Cote d'Ivoire,1997,16047170,41.98976,4617.22563
Africa,Cote d'Ivoire,2002,18654771,43.85903,4196.07952
Africa,Cote d'Ivoire,2007,21030558,45.93032,3960.4846
Africa,Cote d'Ivoire,2012,23467078,48.12425,4234.18056
Africa,Cote d'Ivoire,2017,26733372,50.39773,5556.11366
Africa,Djibouti,1962,93283,53.01765,5916.58249
Africa,Djibouti,1967,121649,59.25698,6033.19608
Africa,Djibouti,1972,166256,65.60547,7184.08936
Africa,Djibouti,1977,254613,70.96286,5579.56302
Africa,Djibouti,1982,356880,74.22893,4268.91477
Africa,Djibouti,1987,454399,75.62827,3519.47695
Africa,Djibouti,1992,626010,76.05056,2887.77227
Africa,Djibouti,1997,671817,74.67142,2563.97073
Africa,Djibouti,2002,795574,72.45034,2620.20795
Africa,Djibouti,2007,874528,70.81181,3368.59384
Africa,Djibouti,2012,966747,70.72663,4258.08707
Africa,Djibouti,2017,1054841,71.31826,5421.95649
Africa,Egypt,1962,28337013,39.04785,2158.03629
Africa,Egypt,1967,32196360,41.56405,2321.32153
Africa,Egypt,1972,36258328,43.12713,2762.99573
Africa,Egypt,1977,40748870,43.8039,3526.98331
Africa,Egypt,1982,46407611,43.92809,4828.94611
Africa,Egypt,1987,53674435,43.95144,6298.38344
Africa,Egypt,1992,61480660,43.17659,7386.89506
Africa,Egypt,1997,68431740,42.6358,8655.44958
Africa,Egypt,2002,76239137,42.83476,10072.53787
Africa,Egypt,2007,84276225,42.97297,11799.37304
Africa,Egypt,2012,93161001,42.81185,13076.80524
Africa,Egypt,2017,103696057,42.4486,14018.36059
Africa,Equatorial Guinea,1962,280286,26.12945,1201.71391
Africa,Equatorial Guinea,1967,311805,26.18728,1507.76533
Africa,Equatorial Guinea,1972,309468,26.21072,1405.42848
Africa,Equatorial Guinea,1977,276779,26.23559,2104.00067
Africa,Equatorial Guinea,1982,322216,26.2977,1630.13607
Africa,Equatorial Guinea,1987,422522,30.08081,1559.79293
Africa,Equatorial Guinea,1992,510770,37.69989,1775.02341
Africa,Equatorial Guinea,1997,616893,38.80869,7910.89398
Africa,Equatorial Guinea,2002,797957,39.19692,21418.4856
Africa,Equatorial Guinea,2007,1036044,45.85745,36215.3295
Africa,Equatorial Guinea,2012,1293483,59.01069,35711.49193
Africa,Equatorial Guinea,2017,1562396,69.5516,22250.43892
Africa,Eritrea,1962,1019788,10.96531,951.50667
Africa,Eritrea,1967,1152339,12.2,1079.13418
Africa,Eritrea,1972,1309235,13.12767,1099.0928
Africa,Eritrea,1977,1482565,13.88581,946.56158
Africa,Eritrea,1982,1695461,14.73604,926.33874
Africa,Eritrea,1987,1888669,16.1985,901.0368
Africa,Eritrea,1992,1798748,21.43153,983.84062
Africa,Eritrea,1997,2152135,30.9261,1687.6309
Africa,Eritrea,2002,2392978,34.54208,1531.23529
Africa,Eritrea,2007,2743222,35.3821,1373.89436
Africa,Eritrea,2012,3036988,35.68243,1696.833
Africa,Eritrea,2017,3150347,35.44271,1559.463
Africa,Ethiopia,1962,22465126,7.37953,837.9316
Africa,Ethiopia,1967,25620276,8.1,967.41744
Africa,Ethiopia,1972,29374608,8.8982,992.79471
Africa,Ethiopia,1977,33167272,9.79297,884.03295
Africa,Ethiopia,1982,36701290,10.78052,921.58247
Africa,Ethiopia,1987,42460039,11.94268,972.85876
Africa,Ethiopia,1992,51853747,13.27974,740.82403
Africa,Ethiopia,1997,61404539,14.30735,869.42415
Africa,Ethiopia,2002,71635517,15.33323,861.11509
Africa,Ethiopia,2007,83103217,16.09483,1114.84014
Africa,Ethiopia,2012,95798767,18.20614,1576.76876
Africa,Ethiopia,2017,109666481,20.30849,2222.82825
Africa,Gabon,1962,524649,14.23791,5875.29647
Africa,Gabon,1967,563108,24.87881,7134.28187
Africa,Gabon,1972,620960,36.49022,9998.17236
Africa,Gabon,1977,693984,48.76734,18490.04572
Africa,Gabon,1982,789286,58.54525,14984.76096
Africa,Gabon,1987,905479,65,14130.77282
Africa,Gabon,1992,1038380,71.94626,19165.65208
Africa,Gabon,1997,1181439,76.87938,22992.22661
Africa,Gabon,2002,1345135,81.22052,20173.20857
Africa,Gabon,2007,1556237,84.69002,19671.99521
Africa,Gabon,2012,1846889,86.88386,19450.40271
Africa,Gabon,2017,2156900,89.00097,19555.70788
Africa,Gambia,1962,420163,8.83801,1759.72989
Africa,Gambia,1967,481588,10.53683,2067.18154
Africa,Gambia,1972,555370,15.13531,1864.59711
Africa,Gambia,1977,645770,22.03983,1982.56459
Africa,Gambia,1982,765753,29.9939,2162.83742
Africa,Gambia,1987,931091,33.59213,2208.44558
Africa,Gambia,1992,1145582,36.48747,2387.56295
Africa,Gambia,1997,1338889,42.43019,2329.00688
Africa,Gambia,2002,1535691,49.57312,2500.01615
Africa,Gambia,2007,1765774,53.91961,2544.14242
Africa,Gambia,2012,2043094,57.32073,2574.9351
Africa,Gambia,2017,2342189,60.47171,2533.18684
Africa,Ghana,1962,7337375,24.62355,2710.18899
Africa,Ghana,1967,8271913,27.73088,2501.44196
Africa,Ghana,1972,9438187,29.54099,2592.30615
Africa,Ghana,1977,10911871,30.48373,2166.01088
Africa,Ghana,1982,12643819,31.49263,1980.03931
Africa,Ghana,1987,14289108,33.61172,2268.29752
Africa,Ghana,1992,16184855,37.38006,2750.73982
Africa,Ghana,1997,18238958,41.64846,3053.16446
Africa,Ghana,2002,20729388,45.34847,3364.62378
Africa,Ghana,2007,23642279,48.81251,3899.59845
Africa,Ghana,2012,26734268,51.91979,5339.71322
Africa,Ghana,2017,30008354,54.69914,5993.63085
Africa,Guinea,1962,3684273,10.82483,1296.16395
Africa,Guinea,1967,4040153,14.49522,1348.59137
Africa,Guinea,1972,4431292,18.76453,1397.19481
Africa,Guinea,1977,4801128,22.78942,1524.6003
Africa,Guinea,1982,5247672,25.72661,1594.8762
Africa,Guinea,1987,5900198,27.40305,1644.26539
Africa,Guinea,1992,6914366,28.72493,1768.63686
Africa,Guinea,1997,7931370,30.05283,2049.52671
Africa,Guinea,2002,8674066,31.51314,2362.78757
Africa,Guinea,2007,9662281,32.97404,2539.14707
Africa,Guinea,2012,10921581,34.33139,2762.90351
Africa,Guinea,2017,12385659,35.58273,3332.76576
Africa,Guinea-Bissau,1962,589474,13.9122,1278.60069
Africa,Guinea-Bissau,1967,569011,14.62994,1627.23173
Africa,Guinea-Bissau,1972,586620,15.20788,1556.78238
Africa,Guinea-Bissau,1977,741789,16.10904,1503.47128
Africa,Guinea-Bissau,1982,855891,19.42426,1504.64967
Africa,Guinea-Bissau,1987,926862,27.60287,1649.71533
Africa,Guinea-Bissau,1992,1024356,33.4003,1897.51065
Africa,Guinea-Bissau,1997,1165545,35.7715,2175.43222
Africa,Guinea-Bissau,2002,1289307,37.47349,1974.42194
Africa,Guinea-Bissau,2007,1450986,39.0031,2023.64221
Africa,Guinea-Bissau,2012,1651417,40.8686,2154.30225
Africa,Guinea-Bissau,2017,1877072,43.01558,2314.15796
Africa,Kenya,1962,8299308,8.63408,1659.60426
Africa,Kenya,1967,10111057,9.42108,1986.42564
Africa,Kenya,1972,12206060,11.15799,2148.14257
Africa,Kenya,1977,14428819,14.49568,2245.20644
Africa,Kenya,1982,17206175,16.47516,2664.13024
Africa,Kenya,1987,20616096,17.72669,3072.17645
Africa,Kenya,1992,24382460,18.38035,3436.53681
Africa,Kenya,1997,28101768,18.7576,3546.62774
Africa,Kenya,2002,32629808,21.85866,3540.94796
Africa,Kenya,2007,38036349,30.41539,4071.14989
Africa,Kenya,2012,43888303,31.85581,4387.9379
Africa,Kenya,2017,49197766,31.53837,4846.86211
Africa,Lesotho,1962,781814,4.85539,884.8219
Africa,Lesotho,1967,913982,7.5899,1008.30395
Africa,Lesotho,1972,1094063,10.21993,935.59193
Africa,Lesotho,1977,1289967,11.21259,1293.42354
Africa,Lesotho,1982,1490732,11.24815,1276.78006
Africa,Lesotho,1987,1703390,11.46257,1405.51794
Africa,Lesotho,1992,1873274,14.29091,1781.40409
Africa,Lesotho,1997,1988130,17.66291,1958.72742
Africa,Lesotho,2002,1994679,20.49263,2084.95818
Africa,Lesotho,2007,1953268,24.21879,2484.13606
Africa,Lesotho,2012,2034354,29.89703,2894.22705
Africa,Lesotho,2017,2157110,36.52836,2924.68096
Africa,Liberia,1962,1197039,19.92478,4158.01815
Africa,Liberia,1967,1358435,23.65885,4946.59272
Africa,Liberia,1972,1542670,27.77285,5487.043
Africa,Liberia,1977,1766019,32.60592,5131.51461
Africa,Liberia,1982,2045073,37.70342,4390.2464
Africa,Liberia,1987,2377229,40.74821,3675.51286
Africa,Liberia,1992,2072461,56.43626,1141.59794
Africa,Liberia,1997,2412989,43.02332,1077.24865
Africa,Liberia,2002,3094782,44.5667,1876.64189
Africa,Liberia,2007,3669050,46.61049,1402.31948
Africa,Liberia,2012,4373043,49.17732,1668.9729
Africa,Liberia,2017,4848925,51.79576,1661.30291
Africa,Libya,1962,1621960,23.85382,4230.48071
Africa,Libya,1967,1898199,31.83203,9759.41615
Africa,Libya,1972,2226091,54.34771,12132.14953
Africa,Libya,1977,2881533,65.59778,17910.30119
Africa,Libya,1982,3724765,73.20449,15683.46649
Africa,Libya,1987,4129739,78.01875,11119.41492
Africa,Libya,1992,4640352,82.16108,15607.76257
Africa,Libya,1997,5064639,85.50439,16827.35268
Africa,Libya,2002,5508410,87.62562,16355.17401
Africa,Libya,2007,6104380,88.15603,22619.89506
Africa,Libya,2012,6179328,88.07279,20595.58004
Africa,Libya,2017,6738770,87.81667,15424.05543
Africa,Madagascar,1962,5384150,11.46791,2180.76136
Africa,Madagascar,1967,6136486,13.06306,2154.52326
Africa,Madagascar,1972,7074398,15.04747,2229.35459
Africa,Madagascar,1977,8222240,17.33026,1904.27565
Africa,Madagascar,1982,9557671,19.21468,1699.847
Africa,Madagascar,1987,11047291,20.92566,1706.81747
Africa,Madagascar,1992,12800870,22.53582,1698.58619
Africa,Madagascar,1997,14990814,24.09906,1628.24251
Africa,Madagascar,2002,17549913,25.60375,1486.11958
Africa,Madagascar,2007,20318583,27.04002,1736.46208
Africa,Madagascar,2012,23462438,28.3988,1617.79083
Africa,Madagascar,2017,26788375,29.67103,1669.72764
Africa,Malawi,1962,3806307,4.23693,627.59694
Africa,Malawi,1967,4303012,4.84436,719.38667
Africa,Malawi,1972,4874475,6.53212,901.63057
Africa,Malawi,1977,5614983,8.42175,975.35108
Africa,Malawi,1982,6778879,9.53513,1022.4224
Africa,Malawi,1987,8293174,10.61865,1054.06764
Africa,Malawi,1992,10135079,12.44906,1013.61416
Africa,Malawi,1997,10562035,14.22919,1242.9446
Africa,Malawi,2002,11880440,14.87225,1145.60656
Africa,Malawi,2007,13576343,15.2478,1318.03456
Africa,Malawi,2012,15709577,15.62531,1518.14804
Africa,Malawi,2017,18039715,15.96343,1613.05936
Africa,Mali,1962,5563917,7.73107,1041.56763
Africa,Mali,1967,5990906,9.61723,1027.86013
Africa,Mali,1972,6483726,11.49351,1102.03761
Africa,Mali,1977,7090979,13.14541,1279.54613
Africa,Mali,1982,7860194,14.63779,1141.83818
Africa,Mali,1987,8681164,15.98104,1341.69507
Africa,Mali,1992,9553540,17.019,1627.9844
Africa,Mali,1997,10646495,18.09457,1772.25675
Africa,Mali,2002,12288050,19.6793,2093.25341
Africa,Mali,2007,14457775,21.7398,2378.00868
Africa,Mali,2012,16957033,24.16062,2523.17698
Africa,Mali,2017,19813011,27.06467,2816.19329
Africa,Mauritania,1962,869184,8.10793,1737.39792
Africa,Mauritania,1967,1003843,12.05111,2823.92441
Africa,Mauritania,1972,1168355,17.30446,3415.92979
Africa,Mauritania,1977,1353768,23.38777,4143.89996
Africa,Mauritania,1982,1561176,32.65685,3877.29954
Africa,Mauritania,1987,1803014,39.43778,4111.81262
Africa,Mauritania,1992,2088135,39.19111,4197.92448
Africa,Mauritania,1997,2411306,38.32069,4577.87414
Africa,Mauritania,2002,2738655,38.39004,4486.13711
Africa,Mauritania,2007,3093059,42.4406,5888.90125
Africa,Mauritania,2012,3619034,48.27324,5716.25196
Africa,Mauritania,2017,4210600,54.19704,6050.62181
Africa,Mauritius,1962,705274,41.01635,5163.33911
Africa,Mauritius,1967,784257,43.23167,4711.70105
Africa,Mauritius,1972,853604,44.1,4431.40819
Africa,Mauritius,1977,912147,43.06341,6115.48583
Africa,Mauritius,1982,983610,41.7565,6246.28979
Africa,Mauritius,1987,1051111,43.03279,8488.25643
Africa,Mauritius,1992,1117670,43.76599,11055.34903
Africa,Mauritius,1997,1184299,42.72178,12618.1192
Africa,Mauritius,2002,1234085,41.69868,14295.52068
Africa,Mauritius,2007,1269518,40.78466,16859.11109
Africa,Mauritius,2012,1289170,40.03695,20183.70007
Africa,Mauritius,2017,1290655,39.44993,24073.23256
Africa,Morocco,1962,12253092,30.15121,2355.77556
Africa,Morocco,1967,13968175,32.77365,2449.68228
Africa,Morocco,1972,15924692,35.69887,2693.41635
Africa,Morocco,1977,18014756,38.95748,3183.81354
Africa,Morocco,1982,20520318,42.62689,3629.55376
Africa,Morocco,1987,23054392,46.15452,3979.21328
Africa,Morocco,1992,25212468,49.81015,4747.32519
Africa,Morocco,1997,27213337,52.60422,4969.39377
Africa,Morocco,2002,29198142,54.22275,5681.19619
Africa,Morocco,2007,31186468,56.53038,6685.63947
Africa,Morocco,2012,33355241,59.43486,7628.64404
Africa,Morocco,2017,35446392,61.27611,8450.00879
Africa,Mozambique,1962,6969364,4.07551,532.03505
Africa,Mozambique,1967,7724550,5.84138,586.68307
Africa,Mozambique,1972,8692935,8.31903,623.87736
Africa,Mozambique,1977,10224975,11.2543,560.01301
Africa,Mozambique,1982,11824370,14.62222,524.5937
Africa,Mozambique,1987,12822574,19.81468,477.06862
Africa,Mozambique,1992,13613316,25.23417,532.78768
Africa,Mozambique,1997,16949982,28.55238,623.44344
Africa,Mozambique,2002,18958338,29.56863,847.42533
Africa,Mozambique,2007,21287635,30.35981,1096.58921
Africa,Mozambique,2012,24337846,31.43153,1338.51595
Africa,Mozambique,2017,28166393,32.62744,1532.00736
Africa,Namibia,1962,615759,23.849,6737.19133
Africa,Namibia,1967,696045,24.63498,7942.00957
Africa,Namibia,1972,804399,25.10503,8170.2316
Africa,Namibia,1977,931104,25.43292,8102.38028
Africa,Namibia,1982,1010308,25.79243,8301.69494
Africa,Namibia,1987,1167889,26.35734,7649.49945
Africa,Namibia,1992,1461322,27.3243,7773.36625
Africa,Namibia,1997,1689264,29.93867,7672.08911
Africa,Namibia,2002,1889970,33.64593,8027.2393
Africa,Namibia,2007,2018600,38.76344,10156.50296
Africa,Namibia,2012,2194654,43.38041,11266.60895
Africa,Namibia,2017,2506853,46.81358,11408.72531
Africa,Niger,1962,3714520,6,1725.02123
Africa,Niger,1967,4283590,7.48804,1791.01078
Africa,Niger,1972,4904845,10.27075,1585.07994
Africa,Niger,1977,5619716,12.81062,1309.94812
Africa,Niger,1982,6512732,14.1977,1520.42153
Africa,Niger,1987,7561150,15.14171,1275.32123
Africa,Niger,1992,8817633,15.58674,1263.14087
Africa,Niger,1997,10383969,15.89308,1156.896
Africa,Niger,2002,12349144,16.26872,1214.9214
Africa,Niger,2007,14803610,16.26419,1241.91548
Africa,Niger,2012,17836769,16.21413,1403.18971
Africa,Niger,2017,21435446,16.5037,1520.00154
Africa,Nigeria,1962,46965292,15.35457,2250.17804
Africa,Nigeria,1967,52293065,18.27993,1919.89684
Africa,Nigeria,1972,58601748,21.57287,3170.49556
Africa,Nigeria,1977,67234590,25.16007,3877.26487
Africa,Nigeria,1982,78378701,28.94714,3158.16222
Africa,Nigeria,1987,89591716,32.83971,2793.34152
Africa,Nigeria,1992,102372770,36.74564,3266.66491
Africa,Nigeria,1997,116754792,40.77202,3156.20944
Africa,Nigeria,2002,133471989,44.9793,3767.95512
Africa,Nigeria,2007,153267261,49.2358,4694.80547
Africa,Nigeria,2012,176200625,53.30211,5563.64168
Africa,Nigeria,2017,200254579,57.34863,5651.73413
Africa,Rwanda,1962,3186025,2.72479,1317.07373
Africa,Rwanda,1967,3629577,2.99605,1045.09587
Africa,Rwanda,1972,4220335,3.5497,1089.85634
Africa,Rwanda,1977,4888240,4.55231,1116.03132
Africa,Rwanda,1982,5711549,4.91096,1291.95675
Africa,Rwanda,1987,6749493,5.08978,1414.43787
Africa,Rwanda,1992,7683266,5.66335,1247.94653
Africa,Rwanda,1997,7755238,11.83449,933.91083
Africa,Rwanda,2002,8400180,16.87788,1253.68904
Africa,Rwanda,2007,9549933,16.91408,1524.63641
Africa,Rwanda,2012,10829901,16.94102,1988.0122
Africa,Rwanda,2017,12202060,20.24776,2351.59687
Africa,Sao Tome and Principe,1962,69403,16.89131,2013.8842
Africa,Sao Tome and Principe,1967,73596,25.6868,2589.61052
Africa,Sao Tome and Principe,1972,81041,30.81021,2978.51215
Africa,Sao Tome and Principe,1977,91301,32.31829,3711.23476
Africa,Sao Tome and Principe,1982,102508,34.47074,3901.36387
Africa,Sao Tome and Principe,1987,113919,39.98786,3467.93122
Africa,Sao Tome and Principe,1992,128110,45.79683,3549.7125
Africa,Sao Tome and Principe,1997,138922,50.23088,3613.63247
Africa,Sao Tome and Principe,2002,149922,55.08827,3822.2203
Africa,Sao Tome and Principe,2007,169700,62.47795,4648.90078
Africa,Sao Tome and Principe,2012,189439,67.03359,4919.55294
Africa,Sao Tome and Principe,2017,206970,67.652,5521.2025
Africa,Senegal,1962,3534686,23.33845,2928.65971
Africa,Senegal,1967,4083870,28.32435,2747.01158
Africa,Senegal,1972,4741631,32.50687,2645.73708
Africa,Senegal,1977,5439549,34.77943,2529.39106
Africa,Senegal,1982,6156961,36.69393,2656.92192
Africa,Senegal,1987,7081530,38.24856,2770.83176
Africa,Senegal,1992,8168395,39.31971,2799.4538
Africa,Senegal,1997,9283495,40.12781,2772.3576
Africa,Senegal,2002,10466214,41.10815,3019.10643
Africa,Senegal,2007,11770344,42.52434,3295.20445
Africa,Senegal,2012,13310495,44.53598,3405.10864
Africa,Senegal,2017,15475002,47.93383,3871.45147
Africa,Seychelles,1962,45063,28.23969,4071.10878
Africa,Seychelles,1967,50667,34.17789,4220.48605
Africa,Seychelles,1972,56889,41.72739,5514.85023
Africa,Seychelles,1977,64104,49.41,7136.213
Africa,Seychelles,1982,67650,49.37201,8208.49439
Africa,Seychelles,1987,71338,49.26,10514.37445
Africa,Seychelles,1992,75617,48.39565,15508.32625
Africa,Seychelles,1997,79650,44.37767,19180.16344
